Temps;Vitesse du véhicule;Tension batterie de traction;Etat de charge de la batterie de traction;Demande de force aux roues lorsque la consigne du groupe motopropulseur est égal à zéro;Température bac de la batterie de traction;Courant batterie de traction mesuré par LBC
Temps;M-02-00;M-38-00;M-39-00;M-44-00;M-37-00;M-1B-00
sec;km/h;Volt;%;Nm;°C;A
5,554;0,0;383,50;85,3;-16384;19;-0,65
5,602;0,0;383,50;85,3;-16384;19;-0,65
5,650;0,0;383,50;85,3;-16384;19;-0,65
5,698;0,0;383,50;85,3;-16384;19;-0,65
5,746;0,0;383,50;85,3;-16384;19;-0,65
5,794;0,0;383,50;85,3;-16384;19;-0,65
5,842;0,0;383,50;85,3;-16384;19;-0,65
5,890;0,0;383,50;85,3;-16384;19;-0,65
5,938;0,0;383,50;85,3;-16384;19;-0,65
5,985;0,0;383,50;85,3;-16384;19;-0,65
6,034;0,0;383,50;85,3;-16384;19;-0,65
6,082;0,0;383,50;85,3;-16384;19;-0,65
6,128;0,0;383,50;85,3;-16384;19;-0,65
6,174;0,0;383,50;85,3;-16384;19;-0,65
6,221;0,0;383,50;85,3;-16384;19;-0,65
6,258;0,0;383,50;85,3;-16384;19;-0,65
6,306;0,0;383,50;85,3;-16384;19;-0,65
6,354;0,0;383,50;85,3;-16384;19;-0,65
6,402;0,0;383,50;85,3;-16384;19;-0,65
6,450;0,0;383,50;85,3;-16384;19;-0,65
6,482;0,0;383,50;85,3;-16384;19;-0,40
6,530;0,0;383,50;85,3;-16384;19;-0,40
6,578;0,0;383,50;85,3;-16384;19;-0,40
6,625;0,0;383,50;85,3;-16384;19;-0,40
6,672;0,0;383,50;85,3;-16384;19;-0,40
6,703;0,0;383,50;85,3;-16384;19;-0,40
6,738;0,0;383,50;85,3;-16384;19;-0,65
6,786;0,0;383,50;85,3;-16384;19;-0,65
6,834;0,0;383,50;85,3;-16384;19;-0,65
6,882;0,0;383,50;85,3;-16384;19;-0,65
6,929;0,0;383,50;85,3;-16384;19;-0,65
6,978;0,0;383,50;85,3;-16384;19;-0,65
7,026;0,0;383,50;85,3;-16384;19;-0,65
7,074;0,0;383,50;85,3;-16384;19;-0,65
7,120;0,0;383,00;85,3;-16384;19;-0,65
7,151;0,0;383,00;85,3;-16384;19;-0,65
7,182;0,0;383,00;85,3;-16384;19;-0,65
7,229;0,0;383,00;85,3;-16384;19;-0,65
7,276;0,0;383,00;85,3;-16384;19;-0,65
7,323;0,0;383,00;85,3;-16384;19;-0,65
7,362;0,0;383,50;85,3;-16384;19;-0,65
7,410;0,0;383,50;85,3;-16384;19;-0,65
7,443;0,0;383,50;85,3;-16384;19;-0,65
7,491;0,0;383,50;85,3;-16384;19;-0,65
7,522;0,0;383,50;85,3;-16384;19;-0,65
7,570;0,0;383,50;85,3;-16384;19;-0,65
7,618;0,0;383,50;85,3;-16384;19;-0,65
7,667;0,0;383,50;85,3;-16384;19;-0,65
7,711;0,0;383,50;85,3;-16384;19;-0,65
7,759;0,0;383,50;85,3;-16384;19;-0,65
7,806;0,0;383,50;85,3;-16384;19;-0,90
7,851;0,0;383,50;85,3;-16384;19;-0,90
7,883;0,0;383,50;85,3;-16384;19;-0,90
7,930;0,0;383,50;85,3;-16384;19;-0,90
7,977;0,0;383,50;85,3;-16384;19;-0,90
8,024;0,0;383,50;85,3;-16384;19;-0,90
8,065;0,0;383,50;85,3;-16384;19;-0,65
8,114;0,0;383,50;85,3;-16384;19;-0,65
8,161;0,0;383,50;85,3;-16384;19;-0,65
8,210;0,0;383,50;85,3;-16384;19;-0,65
8,258;0,0;383,50;85,3;-16384;19;-0,65
8,305;0,0;383,50;85,3;-16384;19;-0,65
8,354;0,0;383,50;85,3;-16384;19;-0,65
8,398;0,0;383,50;85,3;-16384;19;-0,65
8,446;0,0;383,50;85,3;-16384;19;-0,65
8,492;0,0;383,50;85,3;-16384;19;-0,65
8,538;0,0;383,50;85,3;-16384;19;-0,65
8,585;0,0;383,50;85,3;-16384;19;-0,65
8,632;0,0;383,50;85,3;-16384;19;-0,65
8,679;0,0;383,50;85,3;-16384;19;-0,65
8,721;0,0;383,50;85,3;-16384;19;-0,65
8,770;0,0;383,50;85,3;-16384;19;-0,65
8,802;0,0;383,50;85,3;-16384;19;-0,65
8,849;0,0;383,50;85,3;-16384;19;-0,65
8,882;0,0;383,50;85,3;-16384;19;-0,65
8,928;0,0;383,50;85,3;-16384;19;-0,65
