Temps;Vitesse du véhicule;Courant batterie de traction mesuré par LBC
Temps;M-02-00;M-1B-00
sec;km/h;A
13,338;34,6;14,85
13,374;34,6;13,85
13,422;34,4;13,85
13,472;34,4;13,35
13,523;34,1;13,35
13,570;34,1;13,35
13,623;33,9;13,35
13,672;33,9;13,85
13,703;33,5;13,85
13,755;33,5;14,60
13,804;33,2;14,60
13,856;33,2;15,60
13,903;33,0;15,60
13,955;33,0;16,35
14,004;32,8;16,35
14,057;32,8;16,85
14,104;32,6;16,85
14,156;32,6;16,35
14,202;32,1;16,35
14,256;32,1;17,60
14,305;31,9;17,60
14,356;31,9;18,35
14,404;31,5;18,35
14,455;31,5;19,10
14,504;31,3;19,10
14,556;31,3;19,10
14,606;30,9;19,10
14,649;30,9;19,10
14,697;30,7;19,10
14,757;30,7;16,60
14,805;30,4;16,60
14,866;30,4;9,35
14,925;30,1;9,35
14,971;30,1;0,60
15,003;29,9;0,60
15,059;29,9;-0,90
15,107;29,7;-0,90
15,157;29,7;-1,15
15,205;29,5;-1,15
15,259;29,5;-1,90
15,307;29,4;-1,90
15,358;29,4;-4,15
15,405;29,3;-4,15
15,457;29,3;-4,15
15,525;29,2;-4,15
15,573;29,2;-5,65
15,626;29,2;-5,65
15,675;29,2;-6,65
15,725;29,0;-6,65
15,773;29,0;-7,40
15,826;28,9;-7,40
15,873;28,9;-7,90
15,926;28,9;-7,90
15,974;28,9;-8,15
16,026;28,7;-8,15
16,074;28,7;-8,90
16,126;28,7;-8,90
16,174;28,7;-9,40
16,233;28,6;-9,40
16,280;28,6;-9,65
16,327;28,5;-9,65
16,375;28,5;-9,65
16,427;28,5;-9,65
16,475;28,5;-9,65
16,515;28,4;-9,65
16,543;28,4;-9,65
16,590;28,4;-9,65
16,628;28,4;-9,90
16,675;28,3;-9,90
16,728;28,3;-10,15
16,774;28,3;-10,15
16,828;28,3;-11,15
16,876;28,3;-11,15
16,928;28,3;-14,65
16,976;28,2;-14,65
17,028;28,2;-18,65
17,077;28,2;-18,65
17,128;28,2;-21,15
17,176;28,2;-21,15
17,229;28,2;-22,40
17,277;28,3;-22,40
17,329;28,3;-23,65
17,376;28,3;-23,65
17,429;28,3;-29,15
17,477;28,4;-29,15
17,529;28,4;-35,40
17,588;28,5;-35,40
17,629;28,5;-39,65
17,678;28,7;-39,65
17,729;28,7;-42,15
17,777;28,8;-42,15
17,829;28,8;-43,40
17,878;29,1;-43,40
17,930;29,1;-44,15
17,970;29,2;-44,15
18,030;29,2;-44,65
18,078;29,5;-44,65
18,131;29,5;-44,65
18,178;29,6;-44,65
18,231;29,6;-44,40
18,263;29,9;-44,40
18,310;29,9;-44,15
18,363;30,1;-44,15
18,411;30,1;-43,40
18,463;30,2;-43,40
18,512;30,2;-43,40
18,563;30,5;-43,40
18,611;30,5;-42,40
18,664;30,7;-42,40
18,713;30,7;-40,65
18,763;30,9;-40,65
18,811;30,9;-38,15
18,863;31,0;-38,15
18,910;31,0;-36,65
18,958;31,2;-36,65
19,005;31,2;-35,65
19,064;31,3;-35,65
19,112;31,3;-35,40
19,164;31,4;-35,40
19,211;31,4;-34,65
19,264;31,6;-34,65
19,312;31,6;-33,65
19,364;31,7;-33,65
19,411;31,7;-33,40
19,464;31,9;-33,40
19,511;31,9;-33,15
19,564;32,0;-33,15
19,611;32,0;-34,40
19,666;32,1;-34,40
19,714;32,1;-36,40
19,766;32,2;-36,40
19,813;32,2;-39,90
19,864;32,3;-39,90
19,911;32,3;-41,90
19,965;32,5;-41,90
20,018;32,5;-43,90
20,066;32,6;-43,90
20,114;32,6;-45,90
20,166;32,9;-45,90
20,214;32,9;-49,15
20,267;33,0;-49,15
20,318;33,0;-51,15
20,367;33,3;-51,15
20,415;33,3;-51,90
20,465;33,4;-51,90
20,513;33,4;-53,40
20,566;33,6;-53,40
20,614;33,6;-53,90
20,667;33,8;-53,90
20,714;33,8;-54,65
20,766;34,1;-54,65
20,814;34,1;-55,65
20,866;34,2;-55,65
20,914;34,2;-54,15
20,967;34,6;-54,15
21,016;34,6;-55,65
21,067;34,8;-55,65
21,114;34,8;-53,40
21,167;35,0;-53,40
21,214;35,0;-51,65
21,267;35,1;-51,65
21,314;35,1;-51,15
21,367;35,5;-51,15
21,414;35,5;-50,40
21,467;35,6;-50,40
21,515;35,6;-50,65
21,567;35,9;-50,65
21,615;35,9;-49,90
21,678;36,0;-49,90
21,735;36,0;-50,15
21,784;36,2;-50,15
21,835;36,2;-48,90
21,883;36,5;-48,90
21,936;36,5;-47,65
21,984;36,6;-47,65
22,036;36,6;-46,90
22,084;36,9;-46,90
22,137;36,9;-46,15
22,184;37,0;-46,15
22,237;37,0;-46,40
22,284;37,2;-46,40
22,338;37,2;-45,90
22,385;37,4;-45,90
22,438;37,4;-46,65
22,486;37,7;-46,65
22,538;37,7;-47,90
22,586;37,8;-47,90
22,638;37,8;-45,90
22,675;38,1;-45,90
22,754;38,1;-45,40
22,801;38,3;-45,40
22,854;38,3;-46,15
22,901;38,6;-46,15
22,938;38,6;-47,40
22,986;38,7;-47,40
23,039;38,7;-46,15
23,084;39,1;-46,15
23,139;39,1;-44,65
23,185;39,2;-44,65
23,239;39,2;-42,40
23,287;39,4;-42,40
23,339;39,4;-41,15
23,387;39,6;-41,15
23,439;39,6;-40,65
23,487;40,0;-40,65
23,540;40,0;-39,65
23,573;40,2;-39,65
23,620;40,2;-39,65
23,671;40,3;-39,65
23,703;40,3;-39,15
23,755;40,4;-39,15
23,803;40,4;-38,15
23,856;40,6;-38,15
23,904;40,6;-38,15
23,966;40,9;-38,15
24,015;40,9;-37,15
24,071;41,1;-37,15
24,118;41,1;-36,65
24,171;41,2;-36,65
24,218;41,2;-34,90
24,271;41,5;-34,90
24,304;41,5;-34,15
24,356;41,5;-34,15
24,403;41,5;-33,40
24,456;41,7;-33,40
24,504;41,7;-32,90
24,557;42,0;-32,90
24,604;42,0;-32,65
24,656;42,1;-32,65
24,704;42,1;-32,40
24,757;42,3;-32,40
24,805;42,3;-32,15
24,858;42,5;-32,15
24,904;42,5;-32,40
24,957;42,7;-32,40
25,005;42,7;-32,15
25,058;42,8;-32,15
25,105;42,8;-31,90
